質問,工藤研究室,中川研究室,野口研究室,野本研究室,佐藤研究室,田村研究室,木戸研究室,鈴木研究室,村岡研究室,井上研究室,河野研究室,角田研究室,松田研究室,三浦研究室
WiFiが家にある,1,0,1,2,0,0,0,0,0,0,0,0,0,0
携帯電話のネット回線が悪い時、携帯電話をフリフリしたことがある,3,0,1,2,0,0,0,0,0,0,0,0,0,0
YouTube、ニコニコ動画などのオンライン動画配信サイトを利用する,1,0,1,2,0,0,0,0,0,0,0,0,0,0
